Keyword,Type,Lesson,Relevant Code
NumberFormatException,java,"UD.GDC.AD.7.28, UD.GDC.AD.7.29",UD.GDC.AD.T06.10
setOnPreferenceChangeListener,java,"UD.GDC.AD.7.28, UD.GDC.AD.7.29",UD.GDC.AD.T06.10
setDisplayHomeAsUpEnabled,java,UD.GDC.AD.7.32 UD.GDC.AD.7.33,UD.GDC.AD.S06.01
onBackPressed,java,UD.GDC.AD.7.32 UD.GDC.AD.7.33,UD.GDC.AD.S06.01
"android:launchMode=""singleTop""",java,"UD.GDC.AD.7.8, UD.GDC.AD.7.9, UD.GDC.AD.7.32 UD.GDC.AD.7.33, UD.GDC.AD.11.17","UD.GDC.AD.T06.01, UD.GDC.AD.S06.01, UD.GDC.AD.T10.02"
Preference getKey,java,UD.GDC.AD.7.33,UD.GDC.AD.S06.02
intro to SQLite Database,lesson,"UD.GDC.AD.8.2, UD.GDC.AD.10.16",N/A
intro to SQLite Database Contract,lesson,UD.GDC.AD.8.5,N/A
intro to Unit Tests,lesson,"UD.GDC.AD.8.6, UD.GDC.AD.10.15",N/A
SQLite implements BaseColumns,java,"UD.GDC.AD.8.7, UD.GDC.AD.8.18","UD.GDC.AD.T07.01, UD.GDC.AD.S07.01"
SQLite TABLE_NAME,java,"UD.GDC.AD.8.7, UD.GDC.AD.8.18","UD.GDC.AD.T07.01, UD.GDC.AD.S07.01"
SQLite extends SQLiteOpenHelper,java,"UD.GDC.AD.8.8, UD.GDC.AD.8.9, UD.GDC.AD.8.18","UD.GDC.AD.T07.02, UD.GDC.AD.S07.01"
SQLite dBHelper,java,"UD.GDC.AD.8.8, UD.GDC.AD.8.9, UD.GDC.AD.8.18, UD.GDC.AD.10.6, UD.GDC.AD.10.35, UD.GDC.AD.10.36","UD.GDC.AD.T07.02, UD.GDC.AD.S07.01, UD.GDC.AD.T09.01, UD.GDC.AD.S09.01"
SQLite SQLite DATABASE_NAME,java,"UD.GDC.AD.8.8, UD.GDC.AD.8.9, UD.GDC.AD.8.18","UD.GDC.AD.T07.02, UD.GDC.AD.S07.01"
SQLite DATABASE_VERSION,java,"UD.GDC.AD.8.8, UD.GDC.AD.8.9, UD.GDC.AD.8.18","UD.GDC.AD.T07.02, UD.GDC.AD.S07.01"
SQLite SQL_CREATE_WAITLIST_TABLE,java,"UD.GDC.AD.8.8, UD.GDC.AD.8.9, UD.GDC.AD.8.18","UD.GDC.AD.T07.02, UD.GDC.AD.S07.01"
SQLite CREATE TABLE,java,"UD.GDC.AD.8.8, UD.GDC.AD.8.9, UD.GDC.AD.8.18","UD.GDC.AD.T07.02, UD.GDC.AD.S07.01"
SQLite INTEGER PRIMARY KEY AUTOINCREMENT,java,"UD.GDC.AD.8.8, UD.GDC.AD.8.9, UD.GDC.AD.8.18","UD.GDC.AD.T07.02, UD.GDC.AD.S07.01"
SQLite TEXT NOT NULL,java,"UD.GDC.AD.8.8, UD.GDC.AD.8.9, UD.GDC.AD.8.18","UD.GDC.AD.T07.02, UD.GDC.AD.S07.01"
SQLite INTEGER NOT NULL,java,"UD.GDC.AD.8.8, UD.GDC.AD.8.9, UD.GDC.AD.8.18","UD.GDC.AD.T07.02, UD.GDC.AD.S07.01"
SQLite NOT NULL,java,UD.GDC.AD.8.19,UD.GDC.AD.S07.02
SQLite TIMESTAMP DEFAULT CURRENT_TIMESTAMP,java,"UD.GDC.AD.8.8, UD.GDC.AD.8.9, UD.GDC.AD.8.18","UD.GDC.AD.T07.02, UD.GDC.AD.S07.01"
SQLite execSQL,java,"UD.GDC.AD.8.8, UD.GDC.AD.8.9, UD.GDC.AD.8.18","UD.GDC.AD.T07.02, UD.GDC.AD.S07.01"
SQLite onUpgrade,java,"UD.GDC.AD.8.8, UD.GDC.AD.8.9, UD.GDC.AD.8.18","UD.GDC.AD.T07.02, UD.GDC.AD.S07.01"
SQLite DROP TABLE IF EXISTS,java,"UD.GDC.AD.8.8, UD.GDC.AD.8.9, UD.GDC.AD.8.19","UD.GDC.AD.T07.02, UD.GDC.AD.S07.02"
SQLite SQLiteDatabase,java,"UD.GDC.AD.8.10, UD.GDC.AD.8.11",UD.GDC.AD.T07.03
SQLite getWritableDatabase,java,"UD.GDC.AD.8.10, UD.GDC.AD.8.11",UD.GDC.AD.T07.03
SQLite Cursor,java,"UD.GDC.AD.8.10, UD.GDC.AD.8.11",UD.GDC.AD.T07.03
SQLite query,java,"UD.GDC.AD.8.10, UD.GDC.AD.8.11",UD.GDC.AD.T07.03
SQLite Cursor.getCount,java,"UD.GDC.AD.8.12, UD.GDC.AD.8.13",UD.GDC.AD.T07.04
SQLite Cursor.moveToPosition,java,"UD.GDC.AD.8.12, UD.GDC.AD.8.13",UD.GDC.AD.T07.04
SQLite Cursor.getColumnIndex,java,"UD.GDC.AD.8.12, UD.GDC.AD.8.13",UD.GDC.AD.T07.04
SQLite Cursor.getInt,java,"UD.GDC.AD.8.12, UD.GDC.AD.8.13",UD.GDC.AD.T07.04
SQLite Cursor.getString,java,"UD.GDC.AD.8.12, UD.GDC.AD.8.13",UD.GDC.AD.T07.04
SQLite ContentValues put,java,"UD.GDC.AD.8.14, UD.GDC.AD.8.15",UD.GDC.AD.T07.05
SQLite insert,java,"UD.GDC.AD.8.14, UD.GDC.AD.8.15",UD.GDC.AD.T07.05
MainActivity.class.getSimpleName LOG_TAG,java,"UD.GDC.AD.8.14, UD.GDC.AD.8.15",UD.GDC.AD.T07.05
SQLite swapCursor,java,"UD.GDC.AD.8.14, UD.GDC.AD.8.15",UD.GDC.AD.T07.05
SQLite Cursor.close,java,"UD.GDC.AD.8.14, UD.GDC.AD.8.15",UD.GDC.AD.T07.05
Edittext clearFocus,java,"UD.GDC.AD.8.14, UD.GDC.AD.8.15",UD.GDC.AD.T07.05
SQLite delete,java,"UD.GDC.AD.8.16, UD.GDC.AD.8.17, UD.GDC.AD.11.30","UD.GDC.AD.T07.06, UD.GDC.AD.S10.01"
ItemTouchHelper SimpleCallback,java,"UD.GDC.AD.8.16, UD.GDC.AD.8.17",UD.GDC.AD.T07.06
ItemTouchHelper onMove,java,"UD.GDC.AD.8.16, UD.GDC.AD.8.17",UD.GDC.AD.T07.06
ItemTouchHelper onSwiped,java,"UD.GDC.AD.8.16, UD.GDC.AD.8.17",UD.GDC.AD.T07.06
ItemTouchHelper attachToRecyclerView,java,"UD.GDC.AD.8.16, UD.GDC.AD.8.17",UD.GDC.AD.T07.06
viewHolder.itemView.getTag,java,"UD.GDC.AD.8.16, UD.GDC.AD.8.17",UD.GDC.AD.T07.06
Cursor.getLong ID,java,"UD.GDC.AD.8.16, UD.GDC.AD.8.17",UD.GDC.AD.T07.06
holder.itemView.setTag,java,"UD.GDC.AD.8.16, UD.GDC.AD.8.17",UD.GDC.AD.T07.06
SQLite UNIQUE ON CONFLICT REPLACE,java,UD.GDC.AD.8.20,UD.GDC.AD.S07.03
intro to ContentProvider,lesson,"UD.GDC.AD.9.2, UD.GDC.AD.9.3, UD.GDC.AD.9.4, UD.GDC.AD.9.5, UD.GDC.AD.10.4, UD.GDC.AD.10.16",N/A
ContentProvider Permissions TERMS_READ,resource xml,UD.GDC.AD.9.7,UD.GDC.AD.T08.01
intro to ContentResolver,lesson,"UD.GDC.AD.9.8, UD.GDC.AD.9.17, UD.GDC.AD.10.16",N/A
ContentResolver getContentResolver,java,"UD.GDC.AD.9.7, UD.GDC.AD.11.30","UD.GDC.AD.T08.01, UD.GDC.AD.S10.01"
ContentResolver Resolver.query,lesson,UD.GDC.AD.9.9,N/A
ContentResolver Resolver.insert,lesson,UD.GDC.AD.9.9,N/A
ContentResolver Resolver.update,lesson,UD.GDC.AD.9.9,N/A
ContentResolver Resolver.delete,lesson,UD.GDC.AD.9.9,N/A
intro to Uri (Uniform Resource Identifier),lesson,"UD.GDC.AD.9.10, UD.GDC.AD.10.4",N/A
UriMatcher,lesson,"UD.GDC.AD.10.4, UD.GDC.AD.10.16",N/A
UriMatcher wildcard characters,lesson,UD.GDC.AD.10.8,N/A
ContentProvider prefix,lesson,UD.GDC.AD.9.10,N/A
ContentProvider authority,lesson,"UD.GDC.AD.9.10, UD.GDC.AD.10.10",N/A
ContentProvider scheme,lesson,UD.GDC.AD.10.10,N/A
ContentProvider path,lesson,UD.GDC.AD.10.10,N/A
ContentProvider data,lesson,UD.GDC.AD.9.10,N/A
ContentProvider contract documentation,lesson,UD.GDC.AD.9.10,N/A
Contract CONTENT_URI,lesson,UD.GDC.AD.9.10,N/A
Contract CONTENT_URI,java,UD.GDC.AD.9.18,UD.GDC.AD.T08.02
ContentResolver Resolver.query,java,UD.GDC.AD.9.18,UD.GDC.AD.T08.02
ContentResolver Cursor,java,UD.GDC.AD.9.18,UD.GDC.AD.T08.02
intro to ContentResolver Cursor data structure,lesson,UD.GDC.AD.9.19,N/A
ContentResolver Cursor projection,lesson,UD.GDC.AD.9.19,N/A
ContentResolver Cursor selection,lesson,UD.GDC.AD.9.19,N/A
ContentResolver Cursor selection arguments,lesson,UD.GDC.AD.9.19,N/A
ContentResolver Cursor sort order,lesson,UD.GDC.AD.9.19,N/A
ContentResolver Cursor moveToNext,lesson,UD.GDC.AD.9.20,N/A
ContentResolver Cursor moveToFirst,lesson,UD.GDC.AD.9.20,N/A
ContentResolver Cursor getColumnIndex,lesson,UD.GDC.AD.9.20,N/A
ContentResolver Cursor getInt / getString / getLong,lesson,UD.GDC.AD.9.20,N/A
ContentResolver Cursor getCount,lesson,UD.GDC.AD.9.20,N/A
ContentResolver Cursor getColumnIndex,java,"UD.GDC.AD.9.21, UD.GDC.AD.9.22",UD.GDC.AD.T08.03
ContentResolver Cursor moveToNext,java,"UD.GDC.AD.9.21, UD.GDC.AD.9.22",UD.GDC.AD.T08.03
ContentResolver Cursor moveToFirst,java,"UD.GDC.AD.9.21, UD.GDC.AD.9.22",UD.GDC.AD.T08.03
ContentResolver Cursor close,java,"UD.GDC.AD.9.21, UD.GDC.AD.9.22",UD.GDC.AD.T08.03
extends ContentProvider,java,"UD.GDC.AD.9.5, UD.GDC.AD.10.6",UD.GDC.AD.T09.01
register ContentProvider in manifest provider,manifest xml,"UD.GDC.AD.9.5, UD.GDC.AD.10.6, UD.GDC.AD.10.35, UD.GDC.AD.10.36","UD.GDC.AD.T09.01, UD.GDC.AD.S09.01"
ContentProvider authority,java,UD.GDC.AD.10.10,UD.GDC.AD.T09.02
ContentProvider Uri,java,UD.GDC.AD.10.10,UD.GDC.AD.T09.02
Uri buildUpon,java,UD.GDC.AD.10.10,UD.GDC.AD.T09.02
Uri appendPath,java,UD.GDC.AD.10.10,UD.GDC.AD.T09.02
UriMatcher,java,"UD.GDC.AD.10.14, UD.GDC.AD.10.35, UD.GDC.AD.10.36","UD.GDC.AD.T09.03, UD.GDC.AD.S09.01"
UriMatcher.NO_MATCH,java,"UD.GDC.AD.10.14, UD.GDC.AD.10.35, UD.GDC.AD.10.36","UD.GDC.AD.T09.03, UD.GDC.AD.S09.01"
UriMatcher addURI,java,"UD.GDC.AD.10.14, UD.GDC.AD.10.35, UD.GDC.AD.10.36","UD.GDC.AD.T09.03, UD.GDC.AD.S09.01"
Uri getLastPathSegment,java,"UD.GDC.AD.10.35, UD.GDC.AD.10.36",UD.GDC.AD.S09.01
Cursor setNotificationUri,java,"UD.GDC.AD.10.35, UD.GDC.AD.10.36",UD.GDC.AD.S09.01
ContentProvider onCreate,lesson,UD.GDC.AD.10.17,N/A
ContentProvider insert,lesson,UD.GDC.AD.10.17,N/A
ContentProvider query,lesson,UD.GDC.AD.10.17,N/A
ContentProvider update,lesson,UD.GDC.AD.10.17,N/A
ContentProvider delete,lesson,UD.GDC.AD.10.17,N/A
ContentProvider getType,lesson,UD.GDC.AD.10.17,N/A
ContentProvider ContentValues,lesson,UD.GDC.AD.10.17,N/A
ContentProvider Cursor,lesson,UD.GDC.AD.10.17,N/A
ContentProvider insert,java,"UD.GDC.AD.10.19, UD.GDC.AD.10.20, UD.GDC.AD.10.21",UD.GDC.AD.T09.04
match Uri,java,"UD.GDC.AD.10.19, UD.GDC.AD.10.20, UD.GDC.AD.10.21",UD.GDC.AD.T09.04
ContentUris.withAppendedId,java,"UD.GDC.AD.10.19, UD.GDC.AD.10.20, UD.GDC.AD.10.21",UD.GDC.AD.T09.04
android.database.SQLException,java,"UD.GDC.AD.10.19, UD.GDC.AD.10.20, UD.GDC.AD.10.21",UD.GDC.AD.T09.04
UnsupportedOperationException,java,"UD.GDC.AD.10.19, UD.GDC.AD.10.20, UD.GDC.AD.10.21",UD.GDC.AD.T09.04
getContentResolver notifyChange,java,"UD.GDC.AD.10.19, UD.GDC.AD.10.20, UD.GDC.AD.10.21",UD.GDC.AD.T09.04
getContentResolver insert,java,"UD.GDC.AD.10.19, UD.GDC.AD.10.20, UD.GDC.AD.10.21",UD.GDC.AD.T09.04
ContentProvider query,java,"UD.GDC.AD.10.22, UD.GDC.AD.10.23, UD.GDC.AD.10.24",UD.GDC.AD.T09.05
SQLite getReadableDatabase,java,"UD.GDC.AD.10.22, UD.GDC.AD.10.23, UD.GDC.AD.10.24",UD.GDC.AD.T09.05
getContentResolver query,java,"UD.GDC.AD.10.22, UD.GDC.AD.10.23, UD.GDC.AD.10.24",UD.GDC.AD.T09.05
ContentProvider WHERE clause,lesson,UD.GDC.AD.10.25,N/A
ContentProvider query single item,lesson,UD.GDC.AD.10.25,N/A
Uri getPathsegments,lesson,UD.GDC.AD.10.25,N/A
ContentProvider delete,java,"UD.GDC.AD.10.28, UD.GDC.AD.10.39, UD.GDC.AD.10.40","UD.GDC.AD.T09.06, UD.GDC.AD.S09.03"
getContentResolver delete,java,"UD.GDC.AD.10.28, UD.GDC.AD.10.39, UD.GDC.AD.10.40","UD.GDC.AD.T09.06, UD.GDC.AD.S09.03"
swipe to delete RecycleView on Swipe,java,UD.GDC.AD.10.29,UD.GDC.AD.T09.07
getContentResolver delete Uri,java,UD.GDC.AD.10.29,UD.GDC.AD.T09.07
getSupportLoaderManager restartLoader,java,UD.GDC.AD.10.29,UD.GDC.AD.T09.07
ContentProvider update,lesson,UD.GDC.AD.10.30,N/A
ContentProvider getType,lesson,UD.GDC.AD.10.31,N/A
SQLite bulkInsert,java,"UD.GDC.AD.10.37, UD.GDC.AD.10.38",UD.GDC.AD.S09.02
SQLite beginTransaction,java,"UD.GDC.AD.10.37, UD.GDC.AD.10.38",UD.GDC.AD.S09.02
IllegalArgumentException,java,"UD.GDC.AD.10.37, UD.GDC.AD.10.38","UD.GDC.AD.S09.02, UD.GDC.AD.T11.02"
SQLite setTransactionSuccessful,java,"UD.GDC.AD.10.37, UD.GDC.AD.10.38",UD.GDC.AD.S09.02
SQLite endTransaction,java,"UD.GDC.AD.10.37, UD.GDC.AD.10.38",UD.GDC.AD.S09.02
CursorLoader,java,"UD.GDC.AD.10.41, UD.GDC.AD.10.42",UD.GDC.AD.S09.04
column indexes for database using ContentResolver,java,UD.UFT.2,
onCreateLoader,java,"UD.GDC.AD.10.41, UD.GDC.AD.10.42, UD.GDC.AD.10.43, UD.GDC.AD.10.44","UD.GDC.AD.S09.04, UD.GDC.AD.S09.05"
RuntimeException,java,"UD.GDC.AD.10.41, UD.GDC.AD.10.42",UD.GDC.AD.S09.04
RecycleView smoothScrollToPosition,java,"UD.GDC.AD.10.41, UD.GDC.AD.10.42",UD.GDC.AD.S09.04
RecyclerView.NO_POSITION,java,"UD.GDC.AD.10.41, UD.GDC.AD.10.42",UD.GDC.AD.S09.04
getIntent getData,java,"UD.GDC.AD.10.43, UD.GDC.AD.10.44",UD.GDC.AD.S09.05
NullPointerException,java,"UD.GDC.AD.10.43, UD.GDC.AD.10.44",UD.GDC.AD.S09.05
onLoadFinished,java,"UD.GDC.AD.10.43, UD.GDC.AD.10.44",UD.GDC.AD.S09.05
check if Cursor has valid data moveToFirst,java,"UD.GDC.AD.10.43, UD.GDC.AD.10.44",UD.GDC.AD.S09.05
String.format,java,"UD.GDC.AD.10.43, UD.GDC.AD.10.44",UD.GDC.AD.S09.05
onLoaderReset,java,"UD.GDC.AD.10.43, UD.GDC.AD.10.44",UD.GDC.AD.S09.05
intro to Services,lesson,"UD.GDC.AD.11.4, UD.GDC.AD.11.5",N/A
Service startService,lesson,UD.GDC.AD.11.7,N/A
Service scheduleService,lesson,"UD.GDC.AD.11.7, UD.GDC.AD.11.8",N/A
Service bindService,lesson,UD.GDC.AD.11.7,N/A
Service JobService,lesson,UD.GDC.AD.11.7,N/A
Service JobScheduler,lesson,UD.GDC.AD.11.7,N/A
Service stopSelf,lesson,UD.GDC.AD.11.8,N/A
Service onStartCommand,lesson,UD.GDC.AD.11.8,N/A
IntentService,lesson,UD.GDC.AD.11.9,N/A
IntentService onHandleIntent,lesson,UD.GDC.AD.11.9,N/A
extends IntentService,java,"UD.GDC.AD.11.12, UD.GDC.AD.11.13, UD.GDC.AD.11.30","UD.GDC.AD.T10.01, UD.GDC.AD.S10.01"
IntentService onHandleIntent,java,"UD.GDC.AD.11.12, UD.GDC.AD.11.13, UD.GDC.AD.11.30","UD.GDC.AD.T10.01, UD.GDC.AD.S10.01"
IntentService getAction,java,"UD.GDC.AD.11.12, UD.GDC.AD.11.13, UD.GDC.AD.11.30","UD.GDC.AD.T10.01, UD.GDC.AD.S10.01"
intro to Notifications,lesson,UD.GDC.AD.11.14,N/A
NotificationChannel,lesson,UD.GDC.AD.11.15,N/A
Notification Manager,lesson,UD.GDC.AD.11.15,N/A
intro to PendingIntent,lesson,UD.GDC.AD.11.16,N/A
PendingIntent,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02
PendingIntent.getActivity,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02
PendingIntent.FLAG_UPDATE_CURRENT,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02
BitmapFactory.decodeResource,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02
NotificationManager,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02
Context.NOTIFICATION_SERVICE,java,"UD.GDC.AD.11.17, UD.GDC.AD.11.33","UD.GDC.AD.T10.02, UD.GDC.AD.S10.04"
NotificationManager createNotificationChannel,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02
NotificationCompat.Builder,java,"UD.GDC.AD.11.17, UD.GDC.AD.11.33","UD.GDC.AD.T10.02, UD.GDC.AD.S10.04"
NotificationCompat.Builder setColor,java,"UD.GDC.AD.11.17, UD.GDC.AD.11.33","UD.GDC.AD.T10.02, UD.GDC.AD.S10.04"
NotificationCompat.Builder setSmallIcon,java,"UD.GDC.AD.11.17, UD.GDC.AD.11.33","UD.GDC.AD.T10.02, UD.GDC.AD.S10.04"
NotificationCompat.Builder setLargeIcon,java,"UD.GDC.AD.11.17, UD.GDC.AD.11.33","UD.GDC.AD.T10.02, UD.GDC.AD.S10.04"
NotificationCompat.Builder setContentTitle,java,"UD.GDC.AD.11.17, UD.GDC.AD.11.33","UD.GDC.AD.T10.02, UD.GDC.AD.S10.04"
NotificationCompat.Builder setContentText,java,"UD.GDC.AD.11.17, UD.GDC.AD.11.33","UD.GDC.AD.T10.02, UD.GDC.AD.S10.04"
ContextCompat,java,UD.GDC.AD.11.33,UD.GDC.AD.S10.04
TaskStackBuilder,java,UD.GDC.AD.11.33,UD.GDC.AD.S10.04
addNextIntentWithParentStack,java,UD.GDC.AD.11.33,UD.GDC.AD.S10.04
NotificationCompat.Builder setStyle,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02
NotificationCompat.BigTextStyle,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02
NotificationCompat.Builder setDefaults,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02
NotificationCompat.Builder setContentIntent,java,"UD.GDC.AD.11.17, UD.GDC.AD.11.33","UD.GDC.AD.T10.02, UD.GDC.AD.S10.04"
NotificationCompat.Builder setAutoCancel,java,"UD.GDC.AD.11.17, UD.GDC.AD.11.33","UD.GDC.AD.T10.02, UD.GDC.AD.S10.04"
NotificationCompat.Builder setPriority,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02
NotificationCompat.Builder notify,java,"UD.GDC.AD.11.17, UD.GDC.AD.11.33","UD.GDC.AD.T10.02, UD.GDC.AD.S10.04"
NotificationCompat.Builder build,java,"UD.GDC.AD.11.17, UD.GDC.AD.11.33","UD.GDC.AD.T10.02, UD.GDC.AD.S10.04"
android.permission.VIBRATE,resource xml,UD.GDC.AD.11.17,UD.GDC.AD.T10.02
intro to Notification Actions,java,"UD.GDC.AD.11.18, UD.GDC.AD.11.19",UD.GDC.AD.T10.03
NotificationManager cancelAll,java,"UD.GDC.AD.11.18, UD.GDC.AD.11.19",UD.GDC.AD.T10.03
IntentService setAction,java,"UD.GDC.AD.11.18, UD.GDC.AD.11.19",UD.GDC.AD.T10.03
PendingIntent ACTION_IGNORE_PENDING_INTENT_ID,java,"UD.GDC.AD.11.18, UD.GDC.AD.11.19",UD.GDC.AD.T10.03
PendingIntent Action,java,"UD.GDC.AD.11.18, UD.GDC.AD.11.19",UD.GDC.AD.T10.03
dismiss notification,java,"UD.GDC.AD.11.18, UD.GDC.AD.11.19",UD.GDC.AD.T10.03
PendingIntent.FLAG_CANCEL_CURRENT,java,"UD.GDC.AD.11.18, UD.GDC.AD.11.19",UD.GDC.AD.T10.03
PendingIntent getPendingIntent,java,UD.GDC.AD.11.33,UD.GDC.AD.S10.04
intro to Foreground Services,lesson,UD.GDC.AD.11.20,N/A
FirebaseJobDispatcher,java,UD.GDC.AD.11.23,N/A
Driver,java,UD.GDC.AD.11.23,N/A
GooglePlayDriver,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher newJobBuilder,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher setService,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher setTag,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher setRecurring,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher setLifetime Lifetime.UNTIL_NEXT_BOOT,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher setTrigger Trigger.executionWindow,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher setReplaceCurrent,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher setRetryStrategy RetryStrategy.DEFAULT_EXPONENTIAL,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher setConstraints Constraint.ON_UNMETERED_NETWORK / Constraint.DEVICE_CHARGING,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher build,java,UD.GDC.AD.11.23,N/A
GooglePlayServices,lesson,UD.GDC.AD.11.23,N/A
compile com.firebase:firebase-jobdispatcher,gradle,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
extends JobService,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
onStartJob,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
jobFinished,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
jobParameters,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
onStopJob,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
intent-filter com.firebase.jobdispatcher.ACTION_EXECUTE,manifest xml,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
synchronized method,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.31","UD.GDC.AD.T10.04, UD.GDC.AD.S10.02"
Job initialize,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.31","UD.GDC.AD.T10.04, UD.GDC.AD.S10.02"
@NonNull,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.30","UD.GDC.AD.T10.04, UD.GDC.AD.S10.01"
Driver,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
GooglePlayDriver,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher newJobBuilder,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setService,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setTag,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setRecurring,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setLifetime Lifetime.UNTIL_NEXT_BOOT,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setLifetime Lifetime.FOREVER,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setTrigger Trigger.executionWindow,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setReplaceCurrent,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setRetryStrategy RetryStrategy.DEFAULT_EXPONENTIAL,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setConstraints Constraint.ON_UNMETERED_NETWORK / Constraint.DEVICE_CHARGING,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setConstraints Constraint.ON_ANY_NETWORK,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher build,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher schedule,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
intro to Broadcast Receivers,lesson,UD.GDC.AD.11.26,N/A
System Broadcast Intent,lesson,UD.GDC.AD.11.26,N/A
android.intent.action.SCREEN_ON,lesson,UD.GDC.AD.11.26,N/A
