Keyword,Type,Lesson,Relevant Code
AsyncTask execute  ,java,"UD.GDC.AD.3.16, UD.GDC.AD.3.22","UD.GDC.AD.T02.05, UD.GDC.AD.S02.01"
visibility  ,resource xml,"UD.GDC.AD.3.18, UD.GDC.AD.3.24","UD.GDC.AD.T02.06, UD.GDC.AD.S02.03"
ProgressBar  ,resource xml,"UD.GDC.AD.3.18, UD.GDC.AD.3.24","UD.GDC.AD.T02.06, UD.GDC.AD.S02.03"
loading indicator,resource xml,"UD.GDC.AD.3.18, UD.GDC.AD.3.24","UD.GDC.AD.T02.06, UD.GDC.AD.S02.03"
ProgressBar  ,java,"UD.GDC.AD.3.18, UD.GDC.AD.3.24","UD.GDC.AD.T02.06, UD.GDC.AD.S02.03"
loading indicator,java,"UD.GDC.AD.3.18, UD.GDC.AD.3.24","UD.GDC.AD.T02.06, UD.GDC.AD.S02.03"
setVisibility  ,java,"UD.GDC.AD.3.18, UD.GDC.AD.3.24","UD.GDC.AD.T02.06, UD.GDC.AD.S02.03"
AsyncTask onPreExecute  ,java,"UD.GDC.AD.3.18, UD.GDC.AD.3.24","UD.GDC.AD.T02.06, UD.GDC.AD.S02.03"
intro to JSON,JSON,"UD.GDC.AD.3.19, UD.GDC.AD.3.20",N/A
reading JSON code,JSON,"UD.GDC.AD.3.19, UD.GDC.AD.3.20",N/A
intro to RecyclerView,lesson,"UD.GDC.AD.4.2, UD.GDC.AD.4.3, UD.GDC.AD.4.4, UD.GDC.AD.4.5, UD.GDC.AD.4.7, UD.GDC.AD.4.8",N/A
com.android.support:recyclerview,gradle,"UD.GDC.AD.4.9, UD.GDC.AD.4.22","UD.GDC.AD.T03.01, UD.GDC.AD.S03.01"
RecycleView compile,gradle,"UD.GDC.AD.4.9, UD.GDC.AD.4.22","UD.GDC.AD.T03.01, UD.GDC.AD.S03.01"
RecycleView dependency,gradle,"UD.GDC.AD.4.9, UD.GDC.AD.4.22","UD.GDC.AD.T03.01, UD.GDC.AD.S03.01"
RecycleView,resource xml,"UD.GDC.AD.4.9, UD.GDC.AD.4.22","UD.GDC.AD.T03.01, UD.GDC.AD.S03.01"
sp units,lesson,"UD.GDC.AD.4.10, UD.GDC.AD.13.8, UD.GDC.AD.13.15",N/A
dp units,lesson,"UD.GDC.AD.4.10, UD.GDC.AD.13.8, UD.GDC.AD.13.15",N/A
intro to RecycleView Adapter,lesson,UD.GDC.AD.4.10,N/A
intro to ViewHolder,lesson,UD.GDC.AD.4.10,N/A
RecycleView item layout,resource xml,"UD.GDC.AD.4.11, UD.GDC.AD.4.22","UD.GDC.AD.T03.02, UD.GDC.AD.S03.01"
fontFamily,resource xml,UD.GDC.AD.4.11,UD.GDC.AD.T03.02
RecycleView ViewHolder,java,UD.GDC.AD.4.11,UD.GDC.AD.T03.02
RecycleView bind,java,UD.GDC.AD.4.11,UD.GDC.AD.T03.02
String.valueOf,java,UD.GDC.AD.4.11,UD.GDC.AD.T03.02
RecycleView Adapter,lesson,UD.GDC.AD.4.12,N/A
RecycleView onCreateViewHolder,lesson,UD.GDC.AD.4.12,N/A
RecycleView onBindViewHolder,lesson,UD.GDC.AD.4.12,N/A
RecycleView Adapter,java,"UD.GDC.AD.4.14, UD.GDC.AD.4.15, UD.GDC.AD.4.22","UD.GDC.AD.T03.03, UD.GDC.AD.S03.01"
RecycleView onCreateViewHolder,java,"UD.GDC.AD.4.14, UD.GDC.AD.4.15, UD.GDC.AD.4.22","UD.GDC.AD.T03.03, UD.GDC.AD.S03.01"
RecycleView onBindViewHolder,java,"UD.GDC.AD.4.14, UD.GDC.AD.4.15, UD.GDC.AD.4.22","UD.GDC.AD.T03.03, UD.GDC.AD.S03.01"
RecycleView getItemCount,java,"UD.GDC.AD.4.14, UD.GDC.AD.4.15, UD.GDC.AD.4.22","UD.GDC.AD.T03.03, UD.GDC.AD.S03.01"
intro to RecycleView LayoutManager,java,"UD.GDC.AD.4.16, UD.GDC.AD.4.17, UD.GDC.AD.4.19",N/A
RecycleView setLayoutManager,java,"UD.GDC.AD.4.18, UD.GDC.AD.4.22","UD.GDC.AD.T03.04, UD.GDC.AD.S03.01"
RecycleView setHasFixedSize,java,"UD.GDC.AD.4.17, UD.GDC.AD.4.18, UD.GDC.AD.4.22","UD.GDC.AD.T03.04, UD.GDC.AD.S03.01"
RecycleView setAdapter,java,"UD.GDC.AD.4.17, UD.GDC.AD.4.18, UD.GDC.AD.4.22","UD.GDC.AD.T03.04, UD.GDC.AD.S03.01"
RecycleView ItemClickListener,java,UD.GDC.AD.4.20,N/A
Toast management,java,UD.GDC.AD.4.20,N/A
RecycleView notifyDataSetChanged,java,"UD.GDC.AD.4.22, UD.GDC.AD.8.15","UD.GDC.AD.S03.01, UD.GDC.AD.T07.05"
RecycleView refresh/reset,java,"UD.GDC.AD.4.19, UD.GDC.AD.4.22","UD.GDC.AD.T03.06, UD.GDC.AD.S03.01"
RecycleView viewHolderCount,java,UD.GDC.AD.4.19,UD.GDC.AD.T03.05
RecycleView OnClickHandler interface,java,"UD.GDC.AD.4.21, UD.GDC.AD.4.23, UD.GDC.AD.10.43, UD.GDC.AD.10.44","UD.GDC.AD.T03.07, UD.GDC.AD.S03.02, UD.GDC.AD.S09.05"
RecycleView ItemClickListener/ItemClickHandler,java,"UD.GDC.AD.4.21, UD.GDC.AD.4.23","UD.GDC.AD.T03.07, UD.GDC.AD.S03.02"
RecycleView onListItemClick/onClick,java,"UD.GDC.AD.4.21, UD.GDC.AD.4.23, UD.GDC.AD.10.43, UD.GDC.AD.10.44","UD.GDC.AD.T03.07, UD.GDC.AD.S03.02, UD.GDC.AD.S09.05"
RecycleView with AsyncTask for data loading,java,UD.GDC.AD.4.22,UD.GDC.AD.S03.01
intro to intents,java,"UD.GDC.AD.5.3, UD.GDC.AD.5.7",N/A
create activity,java,"UD.GDC.AD.5.5, UD.GDC.AD.5.6","UD.GDC.AD.T04a.01, UD.GDC.AD.S04.01"
android:parentActivityName,java,UD.GDC.AD.5.6,"UD.GDC.AD.T04a.01, UD.GDC.AD.S04.01"
activity meta-data,java,UD.GDC.AD.5.6,"UD.GDC.AD.T04a.01, UD.GDC.AD.S04.01"
android.support.PARENT_ACTIVITY,java,UD.GDC.AD.5.6,"UD.GDC.AD.T04a.01, UD.GDC.AD.S04.01"
back arrow (up button) in menu,resource xml,UD.GDC.AD.5.6,"UD.GDC.AD.T04a.01, UD.GDC.AD.S04.01"
create Intent,java,UD.GDC.AD.5.8,"UD.GDC.AD.T04a.02, UD.GDC.AD.S04.02"
startActivity,java,UD.GDC.AD.5.8,"UD.GDC.AD.T04a.02, UD.GDC.AD.S04.02"
putExtra,java,UD.GDC.AD.5.9,"UD.GDC.AD.T04a.03, UD.GDC.AD.S04.02"
getIntent,java,UD.GDC.AD.5.9,"UD.GDC.AD.T04a.03, UD.GDC.AD.S04.02"
hasExtra,java,UD.GDC.AD.5.9,"UD.GDC.AD.T04a.03, UD.GDC.AD.S04.02"
getStringExtra,java,UD.GDC.AD.5.9,"UD.GDC.AD.T04a.03, UD.GDC.AD.S04.02"
