Keyword,Type,Lesson,Relevant Code,Source
getPreferenceScreen,java,UD.GDC.AD.7.21;UD.GDC.AD.7.22;UD.GDC.AD.7.34,UD.GDC.AD.T06.07;UD.GDC.AD.S06.02,COURSE
getSharedPreferences,java,UD.GDC.AD.7.21;UD.GDC.AD.7.22;UD.GDC.AD.7.34,UD.GDC.AD.T06.07;UD.GDC.AD.S06.02,COURSE
instanceof CheckBoxPreference,java,UD.GDC.AD.7.21;UD.GDC.AD.7.22;UD.GDC.AD.7.34,UD.GDC.AD.T06.07;UD.GDC.AD.S06.02,COURSE
instanceof ListPreference,java,UD.GDC.AD.7.21;UD.GDC.AD.7.22;UD.GDC.AD.7.34,UD.GDC.AD.T06.07;UD.GDC.AD.S06.02,COURSE
Preference findIndexOfValue,java,UD.GDC.AD.7.21;UD.GDC.AD.7.22;UD.GDC.AD.7.34,UD.GDC.AD.T06.07;UD.GDC.AD.S06.02,COURSE
Preference setSummary,java,UD.GDC.AD.7.21;UD.GDC.AD.7.22;UD.GDC.AD.7.34,UD.GDC.AD.T06.07;UD.GDC.AD.S06.02,COURSE
Preference getEntries,java,UD.GDC.AD.7.21;UD.GDC.AD.7.22;UD.GDC.AD.7.34,UD.GDC.AD.T06.07;UD.GDC.AD.S06.02,COURSE
EditTextPreference,resource xml,UD.GDC.AD.7.25;UD.GDC.AD.7.26,UD.GDC.AD.T06.09,COURSE
instanceof EditTextPreference,java,UD.GDC.AD.7.25;UD.GDC.AD.7.26,UD.GDC.AD.T06.09,COURSE
intro to EditTextPreference Constraints,lesson,UD.GDC.AD.7.27,N/A,COURSE
Preference.OnPreferenceChangeListener,java,UD.GDC.AD.7.28;UD.GDC.AD.7.29,UD.GDC.AD.T06.10,COURSE
onPreferenceChange,java,UD.GDC.AD.7.28;UD.GDC.AD.7.29,UD.GDC.AD.T06.10,COURSE
NumberFormatException,java,UD.GDC.AD.7.28;UD.GDC.AD.7.29,UD.GDC.AD.T06.10,COURSE
setOnPreferenceChangeListener,java,UD.GDC.AD.7.28;UD.GDC.AD.7.29,UD.GDC.AD.T06.10,COURSE
setDisplayHomeAsUpEnabled,java,UD.GDC.AD.7.32 UD.GDC.AD.7.33,UD.GDC.AD.S06.01,COURSE
onBackPressed,java,UD.GDC.AD.7.32 UD.GDC.AD.7.33,UD.GDC.AD.S06.01,COURSE
"android:launchMode=""singleTop""",java,UD.GDC.AD.7.8;UD.GDC.AD.7.9;UD.GDC.AD.7.32 UD.GDC.AD.7.33;UD.GDC.AD.11.17,UD.GDC.AD.T06.01;UD.GDC.AD.S06.01;UD.GDC.AD.T10.02,COURSE
Preference getKey,java,UD.GDC.AD.7.33,UD.GDC.AD.S06.02,COURSE
intro to SQLite Database,lesson,UD.GDC.AD.8.2;UD.GDC.AD.10.16,N/A,COURSE
intro to SQLite Database Contract,lesson,UD.GDC.AD.8.5,N/A,COURSE
intro to Unit Tests,lesson,UD.GDC.AD.8.6;UD.GDC.AD.10.15,N/A,COURSE
SQLite implements BaseColumns,java,UD.GDC.AD.8.7;UD.GDC.AD.8.18,UD.GDC.AD.T07.01;UD.GDC.AD.S07.01,COURSE
SQLite TABLE_NAME,java,UD.GDC.AD.8.7;UD.GDC.AD.8.18,UD.GDC.AD.T07.01;UD.GDC.AD.S07.01,COURSE
SQLite extends SQLiteOpenHelper,java,UD.GDC.AD.8.8;UD.GDC.AD.8.9;UD.GDC.AD.8.18,UD.GDC.AD.T07.02;UD.GDC.AD.S07.01,COURSE
SQLite dBHelper,java,UD.GDC.AD.8.8;UD.GDC.AD.8.9;UD.GDC.AD.8.18;UD.GDC.AD.10.6;UD.GDC.AD.10.35;UD.GDC.AD.10.36,UD.GDC.AD.T07.02;UD.GDC.AD.S07.01;UD.GDC.AD.T09.01;UD.GDC.AD.S09.01,COURSE
SQLite SQLite DATABASE_NAME,java,UD.GDC.AD.8.8;UD.GDC.AD.8.9;UD.GDC.AD.8.18,UD.GDC.AD.T07.02;UD.GDC.AD.S07.01,COURSE
SQLite DATABASE_VERSION,java,UD.GDC.AD.8.8;UD.GDC.AD.8.9;UD.GDC.AD.8.18,UD.GDC.AD.T07.02;UD.GDC.AD.S07.01,COURSE
SQLite SQL_CREATE_WAITLIST_TABLE,java,UD.GDC.AD.8.8;UD.GDC.AD.8.9;UD.GDC.AD.8.18,UD.GDC.AD.T07.02;UD.GDC.AD.S07.01,COURSE
SQLite CREATE TABLE,java,UD.GDC.AD.8.8;UD.GDC.AD.8.9;UD.GDC.AD.8.18,UD.GDC.AD.T07.02;UD.GDC.AD.S07.01,COURSE
SQLite INTEGER PRIMARY KEY AUTOINCREMENT,java,UD.GDC.AD.8.8;UD.GDC.AD.8.9;UD.GDC.AD.8.18,UD.GDC.AD.T07.02;UD.GDC.AD.S07.01,COURSE
SQLite TEXT NOT NULL,java,UD.GDC.AD.8.8;UD.GDC.AD.8.9;UD.GDC.AD.8.18,UD.GDC.AD.T07.02;UD.GDC.AD.S07.01,COURSE
SQLite INTEGER NOT NULL,java,UD.GDC.AD.8.8;UD.GDC.AD.8.9;UD.GDC.AD.8.18,UD.GDC.AD.T07.02;UD.GDC.AD.S07.01,COURSE
SQLite NOT NULL,java,UD.GDC.AD.8.19,UD.GDC.AD.S07.02,COURSE
SQLite TIMESTAMP DEFAULT CURRENT_TIMESTAMP,java,UD.GDC.AD.8.8;UD.GDC.AD.8.9;UD.GDC.AD.8.18,UD.GDC.AD.T07.02;UD.GDC.AD.S07.01,COURSE
SQLite execSQL,java,UD.GDC.AD.8.8;UD.GDC.AD.8.9;UD.GDC.AD.8.18,UD.GDC.AD.T07.02;UD.GDC.AD.S07.01,COURSE
SQLite onUpgrade,java,UD.GDC.AD.8.8;UD.GDC.AD.8.9;UD.GDC.AD.8.18,UD.GDC.AD.T07.02;UD.GDC.AD.S07.01,COURSE
SQLite DROP TABLE IF EXISTS,java,UD.GDC.AD.8.8;UD.GDC.AD.8.9;UD.GDC.AD.8.19,UD.GDC.AD.T07.02;UD.GDC.AD.S07.02,COURSE
SQLite SQLiteDatabase,java,UD.GDC.AD.8.10;UD.GDC.AD.8.11,UD.GDC.AD.T07.03,COURSE
SQLite getWritableDatabase,java,UD.GDC.AD.8.10;UD.GDC.AD.8.11,UD.GDC.AD.T07.03,COURSE
SQLite Cursor,java,UD.GDC.AD.8.10;UD.GDC.AD.8.11,UD.GDC.AD.T07.03,COURSE
SQLite query,java,UD.GDC.AD.8.10;UD.GDC.AD.8.11,UD.GDC.AD.T07.03,COURSE
SQLite Cursor.getCount,java,UD.GDC.AD.8.12;UD.GDC.AD.8.13,UD.GDC.AD.T07.04,COURSE
SQLite Cursor.moveToPosition,java,UD.GDC.AD.8.12;UD.GDC.AD.8.13,UD.GDC.AD.T07.04,COURSE
SQLite Cursor.getColumnIndex,java,UD.GDC.AD.8.12;UD.GDC.AD.8.13,UD.GDC.AD.T07.04,COURSE
SQLite Cursor.getInt,java,UD.GDC.AD.8.12;UD.GDC.AD.8.13,UD.GDC.AD.T07.04,COURSE
SQLite Cursor.getString,java,UD.GDC.AD.8.12;UD.GDC.AD.8.13,UD.GDC.AD.T07.04,COURSE
SQLite ContentValues put,java,UD.GDC.AD.8.14;UD.GDC.AD.8.15,UD.GDC.AD.T07.05,COURSE
SQLite insert,java,UD.GDC.AD.8.14;UD.GDC.AD.8.15,UD.GDC.AD.T07.05,COURSE
MainActivity.class.getSimpleName LOG_TAG,java,UD.GDC.AD.8.14;UD.GDC.AD.8.15,UD.GDC.AD.T07.05,COURSE
SQLite swapCursor,java,UD.GDC.AD.8.14;UD.GDC.AD.8.15,UD.GDC.AD.T07.05,COURSE
SQLite Cursor.close,java,UD.GDC.AD.8.14;UD.GDC.AD.8.15,UD.GDC.AD.T07.05,COURSE
Edittext clearFocus,java,UD.GDC.AD.8.14;UD.GDC.AD.8.15,UD.GDC.AD.T07.05,COURSE
SQLite delete,java,UD.GDC.AD.8.16;UD.GDC.AD.8.17;UD.GDC.AD.11.30,UD.GDC.AD.T07.06;UD.GDC.AD.S10.01,COURSE
ItemTouchHelper SimpleCallback,java,UD.GDC.AD.8.16;UD.GDC.AD.8.17,UD.GDC.AD.T07.06,COURSE
ItemTouchHelper onMove,java,UD.GDC.AD.8.16;UD.GDC.AD.8.17,UD.GDC.AD.T07.06,COURSE
ItemTouchHelper onSwiped,java,UD.GDC.AD.8.16;UD.GDC.AD.8.17,UD.GDC.AD.T07.06,COURSE
ItemTouchHelper attachToRecyclerView,java,UD.GDC.AD.8.16;UD.GDC.AD.8.17,UD.GDC.AD.T07.06,COURSE
viewHolder.itemView.getTag,java,UD.GDC.AD.8.16;UD.GDC.AD.8.17,UD.GDC.AD.T07.06,COURSE
Cursor.getLong ID,java,UD.GDC.AD.8.16;UD.GDC.AD.8.17,UD.GDC.AD.T07.06,COURSE
holder.itemView.setTag,java,UD.GDC.AD.8.16;UD.GDC.AD.8.17,UD.GDC.AD.T07.06,COURSE
SQLite UNIQUE ON CONFLICT REPLACE,java,UD.GDC.AD.8.20,UD.GDC.AD.S07.03,COURSE
intro to ContentProvider,lesson,UD.GDC.AD.9.2;UD.GDC.AD.9.3;UD.GDC.AD.9.4;UD.GDC.AD.9.5;UD.GDC.AD.10.4;UD.GDC.AD.10.16,N/A,COURSE
ContentProvider Permissions TERMS_READ,resource xml,UD.GDC.AD.9.7,UD.GDC.AD.T08.01,COURSE
intro to ContentResolver,lesson,UD.GDC.AD.9.8;UD.GDC.AD.9.17;UD.GDC.AD.10.16,N/A,COURSE
ContentResolver getContentResolver,java,UD.GDC.AD.9.7;UD.GDC.AD.11.30,UD.GDC.AD.T08.01;UD.GDC.AD.S10.01,COURSE
ContentResolver Resolver.query,lesson,UD.GDC.AD.9.9,N/A,COURSE
ContentResolver Resolver.insert,lesson,UD.GDC.AD.9.9,N/A,COURSE
ContentResolver Resolver.update,lesson,UD.GDC.AD.9.9,N/A,COURSE
ContentResolver Resolver.delete,lesson,UD.GDC.AD.9.9,N/A,COURSE
intro to Uri (Uniform Resource Identifier),lesson,UD.GDC.AD.9.10;UD.GDC.AD.10.4,N/A,COURSE
UriMatcher,lesson,UD.GDC.AD.10.4;UD.GDC.AD.10.16,N/A,COURSE
UriMatcher wildcard characters,lesson,UD.GDC.AD.10.8,N/A,COURSE
ContentProvider prefix,lesson,UD.GDC.AD.9.10,N/A,COURSE
ContentProvider authority,lesson,UD.GDC.AD.9.10;UD.GDC.AD.10.10,N/A,COURSE
ContentProvider scheme,lesson,UD.GDC.AD.10.10,N/A,COURSE
ContentProvider path,lesson,UD.GDC.AD.10.10,N/A,COURSE
ContentProvider data,lesson,UD.GDC.AD.9.10,N/A,COURSE
ContentProvider contract documentation,lesson,UD.GDC.AD.9.10,N/A,COURSE
Contract CONTENT_URI,lesson,UD.GDC.AD.9.10,N/A,COURSE
Contract CONTENT_URI,java,UD.GDC.AD.9.18,UD.GDC.AD.T08.02,COURSE
ContentResolver Resolver.query,java,UD.GDC.AD.9.18,UD.GDC.AD.T08.02,COURSE
ContentResolver Cursor,java,UD.GDC.AD.9.18,UD.GDC.AD.T08.02,COURSE
intro to ContentResolver Cursor data structure,lesson,UD.GDC.AD.9.19,N/A,COURSE
ContentResolver Cursor projection,lesson,UD.GDC.AD.9.19,N/A,COURSE
ContentResolver Cursor selection,lesson,UD.GDC.AD.9.19,N/A,COURSE
ContentResolver Cursor selection arguments,lesson,UD.GDC.AD.9.19,N/A,COURSE
ContentResolver Cursor sort order,lesson,UD.GDC.AD.9.19,N/A,COURSE
ContentResolver Cursor moveToNext,lesson,UD.GDC.AD.9.20,N/A,COURSE
ContentResolver Cursor moveToFirst,lesson,UD.GDC.AD.9.20,N/A,COURSE
ContentResolver Cursor getColumnIndex,lesson,UD.GDC.AD.9.20,N/A,COURSE
ContentResolver Cursor getInt / getString / getLong,lesson,UD.GDC.AD.9.20,N/A,COURSE
ContentResolver Cursor getCount,lesson,UD.GDC.AD.9.20,N/A,COURSE
ContentResolver Cursor getColumnIndex,java,UD.GDC.AD.9.21;UD.GDC.AD.9.22,UD.GDC.AD.T08.03,COURSE
ContentResolver Cursor moveToNext,java,UD.GDC.AD.9.21;UD.GDC.AD.9.22,UD.GDC.AD.T08.03,COURSE
ContentResolver Cursor moveToFirst,java,UD.GDC.AD.9.21;UD.GDC.AD.9.22,UD.GDC.AD.T08.03,COURSE
ContentResolver Cursor close,java,UD.GDC.AD.9.21;UD.GDC.AD.9.22,UD.GDC.AD.T08.03,COURSE
extends ContentProvider,java,UD.GDC.AD.9.5;UD.GDC.AD.10.6,UD.GDC.AD.T09.01,COURSE
register ContentProvider in manifest provider,manifest xml,UD.GDC.AD.9.5;UD.GDC.AD.10.6;UD.GDC.AD.10.35;UD.GDC.AD.10.36,UD.GDC.AD.T09.01;UD.GDC.AD.S09.01,COURSE
ContentProvider authority,java,UD.GDC.AD.10.10,UD.GDC.AD.T09.02,COURSE
ContentProvider Uri,java,UD.GDC.AD.10.10,UD.GDC.AD.T09.02,COURSE
Uri buildUpon,java,UD.GDC.AD.10.10,UD.GDC.AD.T09.02,COURSE
Uri appendPath,java,UD.GDC.AD.10.10,UD.GDC.AD.T09.02,COURSE
UriMatcher,java,UD.GDC.AD.10.14;UD.GDC.AD.10.35;UD.GDC.AD.10.36,UD.GDC.AD.T09.03;UD.GDC.AD.S09.01,COURSE
UriMatcher.NO_MATCH,java,UD.GDC.AD.10.14;UD.GDC.AD.10.35;UD.GDC.AD.10.36,UD.GDC.AD.T09.03;UD.GDC.AD.S09.01,COURSE
UriMatcher addURI,java,UD.GDC.AD.10.14;UD.GDC.AD.10.35;UD.GDC.AD.10.36,UD.GDC.AD.T09.03;UD.GDC.AD.S09.01,COURSE
Uri getLastPathSegment,java,UD.GDC.AD.10.35;UD.GDC.AD.10.36,UD.GDC.AD.S09.01,COURSE
Cursor setNotificationUri,java,UD.GDC.AD.10.35;UD.GDC.AD.10.36,UD.GDC.AD.S09.01,COURSE
ContentProvider onCreate,lesson,UD.GDC.AD.10.17,N/A,COURSE
ContentProvider insert,lesson,UD.GDC.AD.10.17,N/A,COURSE
ContentProvider query,lesson,UD.GDC.AD.10.17,N/A,COURSE
ContentProvider update,lesson,UD.GDC.AD.10.17,N/A,COURSE
ContentProvider delete,lesson,UD.GDC.AD.10.17,N/A,COURSE
ContentProvider getType,lesson,UD.GDC.AD.10.17,N/A,COURSE
ContentProvider ContentValues,lesson,UD.GDC.AD.10.17,N/A,COURSE
ContentProvider Cursor,lesson,UD.GDC.AD.10.17,N/A,COURSE
ContentProvider insert,java,UD.GDC.AD.10.19;UD.GDC.AD.10.20;UD.GDC.AD.10.21,UD.GDC.AD.T09.04,COURSE
match Uri,java,UD.GDC.AD.10.19;UD.GDC.AD.10.20;UD.GDC.AD.10.21,UD.GDC.AD.T09.04,COURSE
ContentUris.withAppendedId,java,UD.GDC.AD.10.19;UD.GDC.AD.10.20;UD.GDC.AD.10.21,UD.GDC.AD.T09.04,COURSE
android.database.SQLException,java,UD.GDC.AD.10.19;UD.GDC.AD.10.20;UD.GDC.AD.10.21,UD.GDC.AD.T09.04,COURSE
UnsupportedOperationException,java,UD.GDC.AD.10.19;UD.GDC.AD.10.20;UD.GDC.AD.10.21,UD.GDC.AD.T09.04,COURSE
getContentResolver notifyChange,java,UD.GDC.AD.10.19;UD.GDC.AD.10.20;UD.GDC.AD.10.21,UD.GDC.AD.T09.04,COURSE
getContentResolver insert,java,UD.GDC.AD.10.19;UD.GDC.AD.10.20;UD.GDC.AD.10.21,UD.GDC.AD.T09.04,COURSE
ContentProvider query,java,UD.GDC.AD.10.22;UD.GDC.AD.10.23;UD.GDC.AD.10.24,UD.GDC.AD.T09.05,COURSE
SQLite getReadableDatabase,java,UD.GDC.AD.10.22;UD.GDC.AD.10.23;UD.GDC.AD.10.24,UD.GDC.AD.T09.05,COURSE
getContentResolver query,java,UD.GDC.AD.10.22;UD.GDC.AD.10.23;UD.GDC.AD.10.24,UD.GDC.AD.T09.05,COURSE
ContentProvider WHERE clause,lesson,UD.GDC.AD.10.25,N/A,COURSE
ContentProvider query single item,lesson,UD.GDC.AD.10.25,N/A,COURSE
Uri getPathsegments,lesson,UD.GDC.AD.10.25,N/A,COURSE
ContentProvider delete,java,UD.GDC.AD.10.28;UD.GDC.AD.10.39;UD.GDC.AD.10.40,UD.GDC.AD.T09.06;UD.GDC.AD.S09.03,COURSE
getContentResolver delete,java,UD.GDC.AD.10.28;UD.GDC.AD.10.39;UD.GDC.AD.10.40,UD.GDC.AD.T09.06;UD.GDC.AD.S09.03,COURSE
swipe to delete RecycleView on Swipe,java,UD.GDC.AD.10.29,UD.GDC.AD.T09.07,COURSE
getContentResolver delete Uri,java,UD.GDC.AD.10.29,UD.GDC.AD.T09.07,COURSE
getSupportLoaderManager restartLoader,java,UD.GDC.AD.10.29,UD.GDC.AD.T09.07,COURSE
ContentProvider update,lesson,UD.GDC.AD.10.30,N/A,COURSE
ContentProvider getType,lesson,UD.GDC.AD.10.31,N/A,COURSE
SQLite bulkInsert,java,UD.GDC.AD.10.37;UD.GDC.AD.10.38,UD.GDC.AD.S09.02,COURSE
SQLite beginTransaction,java,UD.GDC.AD.10.37;UD.GDC.AD.10.38,UD.GDC.AD.S09.02,COURSE
IllegalArgumentException,java,UD.GDC.AD.10.37;UD.GDC.AD.10.38,UD.GDC.AD.S09.02;UD.GDC.AD.T11.02,COURSE
SQLite setTransactionSuccessful,java,UD.GDC.AD.10.37;UD.GDC.AD.10.38,UD.GDC.AD.S09.02,COURSE
SQLite endTransaction,java,UD.GDC.AD.10.37;UD.GDC.AD.10.38,UD.GDC.AD.S09.02,COURSE
CursorLoader,java,UD.GDC.AD.10.41;UD.GDC.AD.10.42,UD.GDC.AD.S09.04,COURSE
column indexes for database using ContentResolver,java,UD.UFT.2,,COURSE
onCreateLoader,java,UD.GDC.AD.10.41;UD.GDC.AD.10.42;UD.GDC.AD.10.43;UD.GDC.AD.10.44,UD.GDC.AD.S09.04;UD.GDC.AD.S09.05,COURSE
RuntimeException,java,UD.GDC.AD.10.41;UD.GDC.AD.10.42,UD.GDC.AD.S09.04,COURSE
RecycleView smoothScrollToPosition,java,UD.GDC.AD.10.41;UD.GDC.AD.10.42,UD.GDC.AD.S09.04,COURSE
RecyclerView.NO_POSITION,java,UD.GDC.AD.10.41;UD.GDC.AD.10.42,UD.GDC.AD.S09.04,COURSE
getIntent getData,java,UD.GDC.AD.10.43;UD.GDC.AD.10.44,UD.GDC.AD.S09.05,COURSE
NullPointerException,java,UD.GDC.AD.10.43;UD.GDC.AD.10.44,UD.GDC.AD.S09.05,COURSE
onLoadFinished,java,UD.GDC.AD.10.43;UD.GDC.AD.10.44,UD.GDC.AD.S09.05,COURSE
check if Cursor has valid data moveToFirst,java,UD.GDC.AD.10.43;UD.GDC.AD.10.44,UD.GDC.AD.S09.05,COURSE
String.format,java,UD.GDC.AD.10.43;UD.GDC.AD.10.44,UD.GDC.AD.S09.05,COURSE
onLoaderReset,java,UD.GDC.AD.10.43;UD.GDC.AD.10.44,UD.GDC.AD.S09.05,COURSE
intro to Services,lesson,UD.GDC.AD.11.4;UD.GDC.AD.11.5,N/A,COURSE
Service startService,lesson,UD.GDC.AD.11.7,N/A,COURSE
Service scheduleService,lesson,UD.GDC.AD.11.7;UD.GDC.AD.11.8,N/A,COURSE
Service bindService,lesson,UD.GDC.AD.11.7,N/A,COURSE
Service JobService,lesson,UD.GDC.AD.11.7,N/A,COURSE
Service JobScheduler,lesson,UD.GDC.AD.11.7,N/A,COURSE
Service stopSelf,lesson,UD.GDC.AD.11.8,N/A,COURSE
Service onStartCommand,lesson,UD.GDC.AD.11.8,N/A,COURSE
IntentService,lesson,UD.GDC.AD.11.9,N/A,COURSE
IntentService onHandleIntent,lesson,UD.GDC.AD.11.9,N/A,COURSE
extends IntentService,java,UD.GDC.AD.11.12;UD.GDC.AD.11.13;UD.GDC.AD.11.30,UD.GDC.AD.T10.01;UD.GDC.AD.S10.01,COURSE
IntentService onHandleIntent,java,UD.GDC.AD.11.12;UD.GDC.AD.11.13;UD.GDC.AD.11.30,UD.GDC.AD.T10.01;UD.GDC.AD.S10.01,COURSE
IntentService getAction,java,UD.GDC.AD.11.12;UD.GDC.AD.11.13;UD.GDC.AD.11.30,UD.GDC.AD.T10.01;UD.GDC.AD.S10.01,COURSE
intro to Notifications,lesson,UD.GDC.AD.11.14,N/A,COURSE
NotificationChannel,lesson,UD.GDC.AD.11.15,N/A,COURSE
Notification Manager,lesson,UD.GDC.AD.11.15,N/A,COURSE
intro to PendingIntent,lesson,UD.GDC.AD.11.16,N/A,COURSE
PendingIntent,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02,COURSE
PendingIntent.getActivity,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02,COURSE
PendingIntent.FLAG_UPDATE_CURRENT,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02,COURSE
BitmapFactory.decodeResource,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02,COURSE
NotificationManager,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02,COURSE
Context.NOTIFICATION_SERVICE,java,UD.GDC.AD.11.17;UD.GDC.AD.11.33,UD.GDC.AD.T10.02;UD.GDC.AD.S10.04,COURSE
NotificationManager createNotificationChannel,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02,COURSE
NotificationCompat.Builder,java,UD.GDC.AD.11.17;UD.GDC.AD.11.33,UD.GDC.AD.T10.02;UD.GDC.AD.S10.04,COURSE
NotificationCompat.Builder setColor,java,UD.GDC.AD.11.17;UD.GDC.AD.11.33,UD.GDC.AD.T10.02;UD.GDC.AD.S10.04,COURSE
NotificationCompat.Builder setSmallIcon,java,UD.GDC.AD.11.17;UD.GDC.AD.11.33,UD.GDC.AD.T10.02;UD.GDC.AD.S10.04,COURSE
NotificationCompat.Builder setLargeIcon,java,UD.GDC.AD.11.17;UD.GDC.AD.11.33,UD.GDC.AD.T10.02;UD.GDC.AD.S10.04,COURSE
NotificationCompat.Builder setContentTitle,java,UD.GDC.AD.11.17;UD.GDC.AD.11.33,UD.GDC.AD.T10.02;UD.GDC.AD.S10.04,COURSE
NotificationCompat.Builder setContentText,java,UD.GDC.AD.11.17;UD.GDC.AD.11.33,UD.GDC.AD.T10.02;UD.GDC.AD.S10.04,COURSE
ContextCompat,java,UD.GDC.AD.11.33,UD.GDC.AD.S10.04,COURSE
TaskStackBuilder,java,UD.GDC.AD.11.33,UD.GDC.AD.S10.04,COURSE
addNextIntentWithParentStack,java,UD.GDC.AD.11.33,UD.GDC.AD.S10.04,COURSE
NotificationCompat.Builder setStyle,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02,COURSE
NotificationCompat.BigTextStyle,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02,COURSE
NotificationCompat.Builder setDefaults,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02,COURSE
NotificationCompat.Builder setContentIntent,java,UD.GDC.AD.11.17;UD.GDC.AD.11.33,UD.GDC.AD.T10.02;UD.GDC.AD.S10.04,COURSE
NotificationCompat.Builder setAutoCancel,java,UD.GDC.AD.11.17;UD.GDC.AD.11.33,UD.GDC.AD.T10.02;UD.GDC.AD.S10.04,COURSE
NotificationCompat.Builder setPriority,java,UD.GDC.AD.11.17,UD.GDC.AD.T10.02,COURSE
NotificationCompat.Builder notify,java,UD.GDC.AD.11.17;UD.GDC.AD.11.33,UD.GDC.AD.T10.02;UD.GDC.AD.S10.04,COURSE
NotificationCompat.Builder build,java,UD.GDC.AD.11.17;UD.GDC.AD.11.33,UD.GDC.AD.T10.02;UD.GDC.AD.S10.04,COURSE
android.permission.VIBRATE,resource xml,UD.GDC.AD.11.17,UD.GDC.AD.T10.02,COURSE
intro to Notification Actions,java,UD.GDC.AD.11.18;UD.GDC.AD.11.19,UD.GDC.AD.T10.03,COURSE
NotificationManager cancelAll,java,UD.GDC.AD.11.18;UD.GDC.AD.11.19,UD.GDC.AD.T10.03,COURSE
IntentService setAction,java,UD.GDC.AD.11.18;UD.GDC.AD.11.19,UD.GDC.AD.T10.03,COURSE
PendingIntent ACTION_IGNORE_PENDING_INTENT_ID,java,UD.GDC.AD.11.18;UD.GDC.AD.11.19,UD.GDC.AD.T10.03,COURSE
PendingIntent Action,java,UD.GDC.AD.11.18;UD.GDC.AD.11.19,UD.GDC.AD.T10.03,COURSE
dismiss notification,java,UD.GDC.AD.11.18;UD.GDC.AD.11.19,UD.GDC.AD.T10.03,COURSE
PendingIntent.FLAG_CANCEL_CURRENT,java,UD.GDC.AD.11.18;UD.GDC.AD.11.19,UD.GDC.AD.T10.03,COURSE
PendingIntent getPendingIntent,java,UD.GDC.AD.11.33,UD.GDC.AD.S10.04,COURSE
intro to Foreground Services,lesson,UD.GDC.AD.11.20,N/A,COURSE
FirebaseJobDispatcher,java,UD.GDC.AD.11.23,N/A,COURSE
Driver,java,UD.GDC.AD.11.23,N/A,COURSE
GooglePlayDriver,java,UD.GDC.AD.11.23,N/A,COURSE
FirebaseJobDispatcher newJobBuilder,java,UD.GDC.AD.11.23,N/A,COURSE
FirebaseJobDispatcher setService,java,UD.GDC.AD.11.23,N/A,COURSE
FirebaseJobDispatcher setTag,java,UD.GDC.AD.11.23,N/A,COURSE
FirebaseJobDispatcher setRecurring,java,UD.GDC.AD.11.23,N/A,COURSE
FirebaseJobDispatcher setLifetime Lifetime.UNTIL_NEXT_BOOT,java,UD.GDC.AD.11.23,N/A,COURSE
FirebaseJobDispatcher setTrigger Trigger.executionWindow,java,UD.GDC.AD.11.23,N/A,COURSE
FirebaseJobDispatcher setReplaceCurrent,java,UD.GDC.AD.11.23,N/A,COURSE
FirebaseJobDispatcher setRetryStrategy RetryStrategy.DEFAULT_EXPONENTIAL,java,UD.GDC.AD.11.23,N/A,COURSE
FirebaseJobDispatcher setConstraints Constraint.ON_UNMETERED_NETWORK / Constraint.DEVICE_CHARGING,java,UD.GDC.AD.11.23,N/A,COURSE
FirebaseJobDispatcher build,java,UD.GDC.AD.11.23,N/A,COURSE
GooglePlayServices,lesson,UD.GDC.AD.11.23,N/A,COURSE
compile com.firebase:firebase-jobdispatcher,gradle,UD.GDC.AD.11.24;UD.GDC.AD.11.25;UD.GDC.AD.11.32,UD.GDC.AD.T10.04;UD.GDC.AD.S10.03,COURSE
extends JobService,java,UD.GDC.AD.11.24;UD.GDC.AD.11.25;UD.GDC.AD.11.32,UD.GDC.AD.T10.04;UD.GDC.AD.S10.03,COURSE
onStartJob,java,UD.GDC.AD.11.24;UD.GDC.AD.11.25;UD.GDC.AD.11.32,UD.GDC.AD.T10.04;UD.GDC.AD.S10.03,COURSE
jobFinished,java,UD.GDC.AD.11.24;UD.GDC.AD.11.25;UD.GDC.AD.11.32,UD.GDC.AD.T10.04;UD.GDC.AD.S10.03,COURSE
jobParameters,java,UD.GDC.AD.11.24;UD.GDC.AD.11.25;UD.GDC.AD.11.32,UD.GDC.AD.T10.04;UD.GDC.AD.S10.03,COURSE
onStopJob,java,UD.GDC.AD.11.24;UD.GDC.AD.11.25;UD.GDC.AD.11.32,UD.GDC.AD.T10.04;UD.GDC.AD.S10.03,COURSE
intent-filter com.firebase.jobdispatcher.ACTION_EXECUTE,manifest xml,UD.GDC.AD.11.24;UD.GDC.AD.11.25;UD.GDC.AD.11.32,UD.GDC.AD.T10.04;UD.GDC.AD.S10.03,COURSE
synchronized method,java,UD.GDC.AD.11.24;UD.GDC.AD.11.25;UD.GDC.AD.11.31,UD.GDC.AD.T10.04;UD.GDC.AD.S10.02,COURSE
