Code reference,Code link,Source
UD.GDC.AD.T06.02,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.02-Solution-MakeAPreferenceFragment,COURSE
UD.GDC.AD.T06.03,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.03-Solution-ReadingFromSharedPreferences,COURSE
UD.GDC.AD.T06.04,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.04-Solution-UseResources,COURSE
UD.GDC.AD.T06.05,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.05-Solution-PreferenceChangeListener,COURSE
UD.GDC.AD.T06.06,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.06-Solution-AddTwoMoreCheckboxes,COURSE
UD.GDC.AD.T06.07,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.07-Solution-ListPreference,COURSE
UD.GDC.AD.T06.08,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.08-Solution-PreferenceSummary,COURSE
UD.GDC.AD.T06.09,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.09-Solution-EditTextPreference,COURSE
UD.GDC.AD.T06.10,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.10-Solution-EditTextPreferenceConstraints,COURSE
UD.GDC.AD.S06.01,https://github.com/udacity/ud851-Sunshine/tree/student/S06.01-Solution-LaunchSettingsActivity,COURSE
UD.GDC.AD.S06.02,https://github.com/udacity/ud851-Sunshine/tree/student/S06.02-Solution-SettingsFragment,COURSE
UD.GDC.AD.S06.03,https://github.com/udacity/ud851-Sunshine/tree/student/S06.03-Solution-PolishingPreferences,COURSE
UD.GDC.AD.T07.01,https://github.com/udacity/ud851-Exercises/tree/student/Lesson07-Waitlist/T07.01-Solution-CreateAContract,COURSE
